,NOMBRE,PRECIO (€),LINK,PRODUCTO,PALETA,TIENDA
7,Ombre Eye Shadow,48.0,https://www.bobbibrown.es/product/2330/105949/makeup/eyes/sombra-de-ojos/ombre-eye-shadow/chinese-valentines-day-collection-fh22#/shade/Sunset_Rose%E2%80%8B,SOMBRAS DE OJOS,PRIMAVERA / OTOÑO / VERANO,BOBBI BROWN
8,Luxe Essentials Eye Palette Set,99.0,https://www.bobbibrown.es/product/2330/106123/makeup/eyes/sombra-de-ojos/luxe-essentials-eye-palette-set/fh22-nordstrom-anniversary,SOMBRAS DE OJOS,PRIMAVERA / OTOÑO,BOBBI BROWN
9,Real Nudes Eye Shadow Palette,44.5,https://www.bobbibrown.es/product/2330/79240/makeup/eyes/sombra-de-ojos/real-nudes-eye-shadow-palette#/shade/Golden_Nudes,SOMBRAS DE OJOS,TODAS,BOBBI BROWN
10,Luxe Eye Shadow,48.0,https://www.bobbibrown.es/product/2330/53791/makeup/eyes/sombra-de-ojos/luxe-eye-shadow/fh17#/shade/Opalescent,SOMBRAS DE OJOS,TODAS,BOBBI BROWN
11,Eye Shadow,34.0,https://www.bobbibrown.es/product/2330/8197/makeup/eyes/sombra-de-ojos/eye-shadow#/shade/Bone,SOMBRAS DE OJOS,PRIMAVERA / OTOÑO / VERANO,BOBBI BROWN
12,Shimmer Wash Eye Shadow,34.0,https://www.bobbibrown.es/product/2330/7815/makeup/eyes/sombra-de-ojos/shimmer-wash-eye-shadow#/shade/Champagne,SOMBRAS DE OJOS,PRIMAVERA,BOBBI BROWN
13,Metallic Eye Shadow,34.0,https://www.bobbibrown.es/product/2330/7810/makeup/eyes/sombra-de-ojos/metallic-eye-shadow#/shade/Champagne_Quartz,SOMBRAS DE OJOS,PRIMAVERA / OTOÑO / INVIERNO,BOBBI BROWN
17,Mini Long-Wear Cream Shadow Stick,21.0,https://www.bobbibrown.es/product/2330/80767/makeup/eyes/sombra-de-ojos/mini-long-wear-cream-shadow-stick#/shade/Golden_Pink,SOMBRAS DE OJOS,PRIMAVERA,BOBBI BROWN
0,Crushed Oil-Infused Gloss Shimmer,32.0,https://www.bobbibrown.es/product/2339/103213/makeup/lips/crushed-oil-infused-gloss-shimmer#/shade/Bare_Sparkle,PINTALABIOS,TODAS,BOBBI BROWN
1,Proud To Be Pink Crushed Oil-Infused Gloss Duo,41.0,https://www.bobbibrown.es/product/2339/106333/makeup/lips/proud-to-be-pink-crushed-oil-infused-gloss-duo/fh22crushed-oil-infused-gloss--free-spirit-crushed-oil-infused-gloss-shimmer--bellini,PINTALABIOS,PRIMAVERA / VERANO,BOBBI BROWN
2,Luxe Lipstick,42.0,https://www.bobbibrown.es/product/2339/106434/makeup/lips/luxe-lipstick/fh22#/shade/Neutral_Rose%E2%80%8B,PINTALABIOS,TODAS,BOBBI BROWN
3,Mini Crushed Lip Trio - Festive Ready,36.0,https://www.bobbibrown.es/product/2339/107493/makeup/lips/mini-crushed-lip-trio--festive-ready/fh22,PINTALABIOS,TODAS,BOBBI BROWN
4,Mini Crushed Lip Trio - Effortless Nude,36.0,https://www.bobbibrown.es/product/2339/107494/makeup/lips/mini-crushed-lip-trio--effortless-nude/fh22,PINTALABIOS,PRIMAVERA,BOBBI BROWN
5,Extra Lip Tint,39.0,https://www.bobbibrown.es/product/2339/39562/makeup/lips/extra-lip-tint#/shade/Bare_Pink,PINTALABIOS,TODAS,BOBBI BROWN
6,Crushed Creamy Color for Cheeks & Lips,34.0,https://www.bobbibrown.es/product/2339/101792/makeup/lips/crushed-creamy-color-for-cheeks-lips#/shade/Tulle,PINTALABIOS,TODAS,BOBBI BROWN
7,Crushed Lip Color,34.0,https://www.bobbibrown.es/product/2339/49493/makeup/lips/crushed-lip-color/fh17#/shade/Cabana,PINTALABIOS,TODAS,BOBBI BROWN
8,Luxe Shine Intense Lipstick,42.0,https://www.bobbibrown.es/product/2339/69380/makeup/lips/luxe-shine-intense-lipstick#/shade/Claret%E2%80%8B,PINTALABIOS,TODAS,BOBBI BROWN
